productivity,mpc,wage,search_prob,error
1.4000000000000001,0.75,37.5,0.5,11105432755.225943
1.4000000000000001,0.75,50.0,0.30000000000000004,7138049491.257006
1.4000000000000001,0.75,50.0,0.35000000000000003,5547691361.908741
1.4000000000000001,0.75,50.0,0.4,4408694344.320208
1.4000000000000001,0.75,50.0,0.45000000000000007,3551785939.502521
1.4000000000000001,0.75,50.0,0.5,2882871382.3878775
1.4000000000000001,0.75,62.5,0.30000000000000004,4437958851.885425
1.4000000000000001,0.75,62.5,0.35000000000000003,3687831061.192612
1.4000000000000001,0.75,62.5,0.4,3206535692.879642
1.4000000000000001,0.75,62.5,0.45000000000000007,2863377967.5703645
1.4000000000000001,0.75,62.5,0.5,2617612243.359582
1.4000000000000001,0.75,75.0,0.30000000000000004,8295720035.299391
1.4000000000000001,0.75,75.0,0.35000000000000003,8880950531.65904
1.4000000000000001,0.75,75.0,0.4,9434337174.090714
1.4000000000000001,0.75,75.0,0.45000000000000007,9896121240.574976
1.4000000000000001,0.75,75.0,0.5,10309655338.141066
1.4000000000000001,0.775,25.0,0.30000000000000004,32131424428.62256
1.4000000000000001,0.775,25.0,0.35000000000000003,30344040973.936604
1.4000000000000001,0.775,25.0,0.4,29019133755.75675
1.4000000000000001,0.775,25.0,0.45000000000000007,28007171340.44323
1.4000000000000001,0.775,25.0,0.5,27199501476.462883
1.4000000000000001,0.775,37.5,0.30000000000000004,16319042777.030825
1.4000000000000001,0.775,37.5,0.35000000000000003,14384046826.158236
1.4000000000000001,0.775,37.5,0.4,12964729270.680803
1.4000000000000001,0.775,37.5,0.45000000000000007,11885542364.039865
1.4000000000000001,0.775,37.5,0.5,11029842805.55876
1.4000000000000001,0.775,50.0,0.30000000000000004,7093575307.036678
1.4000000000000001,0.775,50.0,0.35000000000000003,5508353014.0816965
1.4000000000000001,0.775,50.0,0.4,4373320635.834915
1.4000000000000001,0.775,50.0,0.45000000000000007,3519413715.419449
1.4000000000000001,0.775,50.0,0.5,2852887954.0972033
1.4000000000000001,0.775,62.5,0.30000000000000004,4455022018.640116
1.4000000000000001,0.775,62.5,0.35000000000000003,3716959537.7069726
1.4000000000000001,0.775,62.5,0.4,3244907851.2190757
1.4000000000000001,0.775,62.5,0.45000000000000007,2908785394.58197
1.4000000000000001,0.775,62.5,0.5,2668636922.078199
1.4000000000000001,0.775,75.0,0.30000000000000004,8403382911.841142
1.4000000000000001,0.775,75.0,0.35000000000000003,9009866397.034071
1.4000000000000001,0.775,75.0,0.4,9579490916.833292
1.4000000000000001,0.775,75.0,0.45000000000000007,10053657401.527443
1.4000000000000001,0.775,75.0,0.5,10477089709.501757
1.4000000000000001,0.8,25.0,0.30000000000000004,32051193035.947136
1.4000000000000001,0.8,25.0,0.35000000000000003,30261871842.032204
1.4000000000000001,0.8,25.0,0.4,28935524920.438427
1.4000000000000001,0.8,25.0,0.45000000000000007,27922442949.628975
1.4000000000000001,0.8,25.0,0.5,27113867711.0067
1.4000000000000001,0.8,37.5,0.30000000000000004,16242387039.029863
1.4000000000000001,0.8,37.5,0.35000000000000003,14307879853.366285
1.4000000000000001,0.8,37.5,0.4,12888981684.631815
1.4000000000000001,0.8,37.5,0.45000000000000007,11810090317.277481
1.4000000000000001,0.8,37.5,0.5,10954615375.789711
1.4000000000000001,0.8,50.0,0.30000000000000004,7049622791.051633
1.4000000000000001,0.8,50.0,0.35000000000000003,5469579350.445284
1.4000000000000001,0.8,50.0,0.4,4338544743.674263
1.4000000000000001,0.8,50.0,0.45000000000000007,3487665039.0149326
1.4000000000000001,0.8,50.0,0.5,2823549005.6254296
1.4000000000000001,0.8,62.5,0.30000000000000004,4472900292.012431
1.4000000000000001,0.8,62.5,0.35000000000000003,3746970333.269192
1.4000000000000001,0.8,62.5,0.4,3284214097.565758
1.4000000000000001,0.8,62.5,0.45000000000000007,2955167114.8413234
1.4000000000000001,0.8,62.5,0.5,2720668600.5138526
1.4000000000000001,0.8,75.0,0.30000000000000004,8512219541.9122715
1.4000000000000001,0.8,75.0,0.35000000000000003,9140052801.838017
1.4000000000000001,0.8,75.0,0.4,9725989746.30631
1.4000000000000001,0.8,75.0,0.45000000000000007,10212596544.756655
1.4000000000000001,0.8,75.0,0.5,10645974160.454979
1.5,0.7,25.0,0.30000000000000004,29884639333.020195
1.5,0.7,25.0,0.35000000000000003,28026253000.7155
1.5,0.7,25.0,0.4,26679951254.993176
1.5,0.7,25.0,0.45000000000000007,25651579873.740425
1.5,0.7,25.0,0.5,24819161281.400913
1.5,0.7,37.5,0.30000000000000004,14160363783.876236
1.5,0.7,37.5,0.35000000000000003,12224726347.309317
1.5,0.7,37.5,0.4,10837708235.34293
1.5,0.7,37.5,0.45000000000000007,9784128285.558323
1.5,0.7,37.5,0.5,8940679725.912802
1.5,0.7,50.0,0.30000000000000004,5830668183.162498
1.5,0.7,50.0,0.35000000000000003,4385741016.9267845
1.5,0.7,50.0,0.4,3379629543.127715
1.5,0.7,50.0,0.45000000000000007,2626825772.874283
1.5,0.7,50.0,0.5,2042466798.4985845
1.5,0.7,62.5,0.30000000000000004,4895552530.878985
1.5,0.7,62.5,0.35000000000000003,4509297009.567892
1.5,0.7,62.5,0.4,4305715178.347535
1.5,0.7,62.5,0.45000000000000007,4179672335.688292
1.5,0.7,62.5,0.5,4124522499.158251
1.5,0.7,75.0,0.30000000000000004,11355016827.0257
1.5,0.7,75.0,0.35000000000000003,12595394325.23265
1.5,0.7,75.0,0.4,13615965141.002396
1.5,0.7,75.0,0.45000000000000007,14442667974.000362
1.5,0.7,75.0,0.5,15186846827.891808
1.5,0.725,25.0,0.30000000000000004,29807900234.752934
1.5,0.725,25.0,0.35000000000000003,27947819787.40872
1.5,0.725,25.0,0.4,26600285345.69045
1.5,0.725,25.0,0.45000000000000007,25570951624.451077
1.5,0.725,25.0,0.5,24737750219.764294
1.5,0.725,37.5,0.30000000000000004,14091518416.80595
1.5,0.725,37.5,0.35000000000000003,12156998842.477303
1.5,0.725,37.5,0.4,10770838376.274189
1.5,0.725,37.5,0.45000000000000007,9717889232.745625
1.5,0.725,37.5,0.5,8874966148.621391
1.5,0.725,50.0,0.30000000000000004,5800558734.176253
1.5,0.725,50.0,0.35000000000000003,4362000763.988314
1.5,0.725,50.0,0.4,3360641737.5498652
1.5,0.725,50.0,0.45000000000000007,2611444797.2857847
1.5,0.725,50.0,0.5,2030052715.661386
1.5,0.725,62.5,0.30000000000000004,4935021186.863844
1.5,0.725,62.5,0.35000000000000003,4562825551.941742
1.5,0.725,62.5,0.4,4369695429.517478
1.5,0.725,62.5,0.45000000000000007,4251618318.071543
1.5,0.725,62.5,0.5,4203009920.8842754
1.5,0.725,75.0,0.30000000000000004,11494905774.86873
1.5,0.725,75.0,0.35000000000000003,12759473206.33759
1.5,0.725,75.0,0.4,13797999452.177032
1.5,0.725,75.0,0.45000000000000007,14638409795.10291
1.5,0.725,75.0,0.5,15393837764.290062
1.5,0.75,25.0,0.30000000000000004,29731291444.82482
1.5,0.75,25.0,0.35000000000000003,27869527829.65492
1.5,0.75,25.0,0.4,26520768903.15184
1.5,0.75,25.0,0.45000000000000007,25490479226.185997
1.5,0.75,25.0,0.5,24656500315.422638
1.5,0.75,37.5,0.30000000000000004,14022966243.49873
1.5,0.75,37.5,0.35000000000000003,12089589162.639515
1.5,0.75,37.5,0.4,10704304817.424732
1.5,0.75,37.5,0.45000000000000007,9652000844.737522
1.5,0.75,37.5,0.5,8809615175.243639
1.5,0.75,50.0,0.30000000000000004,5770970518.546564
1.5,0.75,50.0,0.35000000000000003,4338825533.2618
1.5,0.75,50.0,0.4,3342251799.028518
1.5,0.75,50.0,0.45000000000000007,2596687225.7943397
1.5,0.75,50.0,0.5,2018283262.004026
