productivity,mpc,wage,search_prob,error
0.6,0.75,3000.0,0.45000000000000007,76530880502.99242
0.6,0.75,3000.0,0.5,76519108586.55635
0.6499999999999999,0.6499999999999999,2000.0,0.30000000000000004,76525324099.76619
0.6499999999999999,0.6499999999999999,2000.0,0.35000000000000003,76488922404.52492
0.6499999999999999,0.6499999999999999,2000.0,0.4,76462218707.37631
0.6499999999999999,0.6499999999999999,2000.0,0.45000000000000007,76445181567.61395
0.6499999999999999,0.6499999999999999,2000.0,0.5,76432342414.78008
0.6499999999999999,0.6499999999999999,2250.0,0.30000000000000004,76525324099.76619
0.6499999999999999,0.6499999999999999,2250.0,0.35000000000000003,76488922404.52492
0.6499999999999999,0.6499999999999999,2250.0,0.4,76462218707.37631
0.6499999999999999,0.6499999999999999,2250.0,0.45000000000000007,76445181567.61395
0.6499999999999999,0.6499999999999999,2250.0,0.5,76432342414.78008
0.6499999999999999,0.6499999999999999,2500.0,0.30000000000000004,76525324099.76619
0.6499999999999999,0.6499999999999999,2500.0,0.35000000000000003,76488922404.52492
0.6499999999999999,0.6499999999999999,2500.0,0.4,76462218707.37631
0.6499999999999999,0.6499999999999999,2500.0,0.45000000000000007,76445181567.61395
0.6499999999999999,0.6499999999999999,2500.0,0.5,76432342414.78008
0.6499999999999999,0.6499999999999999,2750.0,0.30000000000000004,76525324099.76619
0.6499999999999999,0.6499999999999999,2750.0,0.35000000000000003,76488922404.52492
0.6499999999999999,0.6499999999999999,2750.0,0.4,76462218707.37631
0.6499999999999999,0.6499999999999999,2750.0,0.45000000000000007,76445181567.61395
0.6499999999999999,0.6499999999999999,2750.0,0.5,76432342414.78008
0.6499999999999999,0.6499999999999999,3000.0,0.30000000000000004,76525324099.76619
0.6499999999999999,0.6499999999999999,3000.0,0.35000000000000003,76488922404.52492
0.6499999999999999,0.6499999999999999,3000.0,0.4,76462218707.37631
0.6499999999999999,0.6499999999999999,3000.0,0.45000000000000007,76445181567.61395
0.6499999999999999,0.6499999999999999,3000.0,0.5,76432342414.78008
0.6499999999999999,0.6749999999999999,2000.0,0.30000000000000004,76525324099.76619
0.6499999999999999,0.6749999999999999,2000.0,0.35000000000000003,76488922404.52492
