mpc,search_prob,wage,final_gdp,target_gdp,error_pct,emergent_productivity
0.5,0.4,35,70227.55370915285,80126,12.353600942075166,1.935815534547224
0.6,0.3,35,70215.62371158517,80126,12.3684899887862,1.9357358604973434
0.5,0.3,45,90039.59184716096,80126,12.372503116542648,1.9385133602668667
0.5,0.4,45,90141.9162679647,80126,12.500207508130568,1.936694513871403
0.55,0.3,35,69967.13189180469,80126,12.678616314548725,1.9356332902260016
0.55,0.3,45,90343.69283255501,80126,12.752031590938037,1.9382580876518298
0.5,0.3,35,69727.60227429323,80126,12.977557504064565,1.9357885879526175
0.6,0.3,45,90629.37859235359,80126,13.108577231302688,1.9375919443184644
0.55,0.4,45,90669.4735344009,80126,13.158617096074801,1.9372003442533534
0.7,0.3,45,90804.89887004849,80126,13.32763256626874,1.935498796327251
0.6,0.4,45,90889.34354488038,80126,13.433022420787733,1.9372164991854162
0.65,0.3,45,90944.9208963536,80126,13.502384864280751,1.9375919443184644
0.65,0.4,45,91341.65464891642,80126,13.997522213659009,1.9380146395536983
0.7,0.4,45,91670.50559240369,80126,14.40793948581445,1.9382609068978598
0.7,0.2,35,67711.46027987702,80126,15.493771959317797,1.9386203528985573
0.65,0.2,35,67079.44337622238,80126,16.28255076227145,1.9398178419861494
0.6,0.2,35,67041.7152737607,80126,16.32963672994946,1.9367964810657232
0.5,0.2,35,66574.31434886334,80126,16.91296913752922,1.93666790201517
0.55,0.2,35,66554.09973433509,80126,16.93819767074971,1.937665438660263
0.5,0.2,50,95241.66005995485,80126,18.864862915851102,1.938078601895782
0.55,0.2,50,95563.42206022902,80126,19.266432943400414,1.9378655614379139
0.6,0.2,50,95898.574986947,80126,19.68471530707511,1.9380092170062593
0.65,0.2,50,96226.22953057558,80126,20.093639431115474,1.9379948455337321
0.7,0.2,50,96562.14269895766,80126,20.512870602498136,1.938154523054956
0.7,0.4,30,60975.60865263126,80126,23.900346139041936,1.9380297102415251
0.65,0.4,30,60770.3762714939,80126,24.156483199593264,1.9382151902302573
0.7,0.3,30,60709.476340358015,80126,24.23248840531411,1.9373022287175725
0.6,0.4,30,60559.5906194939,80126,24.419550932913285,1.9382151902302573
0.65,0.3,30,60508.32161025548,80126,24.483536417323364,1.9375967521883124
0.55,0.4,30,60348.632728640056,80126,24.682833626238605,1.9382094374295276
