productivity,mpc,wage,search_prob,error
2.0,0.75,75.0,0.2,14608936963.847057
2.0,0.75,75.0,0.3,22439157430.591072
2.0,0.75,75.0,0.4,27894179673.46838
2.0,0.75,100.0,0.2,51181120674.45128
2.0,0.75,100.0,0.3,79424994069.20996
2.0,0.75,100.0,0.4,96979805798.54704
2.0,0.8,50.0,0.2,7807510660.670232
2.0,0.8,50.0,0.3,4125867918.9495745
2.0,0.8,50.0,0.4,2621825044.784114
2.0,0.8,75.0,0.2,14608936963.847057
2.0,0.8,75.0,0.3,22439157430.591072
2.0,0.8,75.0,0.4,27894179673.46838
2.0,0.8,100.0,0.2,51181120674.45128
2.0,0.8,100.0,0.3,79424994069.20996
2.0,0.8,100.0,0.4,96979805798.54704
1.8,0.6499999999999999,25.0,0.30000000000000004,28248671803.645416
1.8,0.6499999999999999,25.0,0.35000000000000003,26367053894.704556
1.8,0.6499999999999999,25.0,0.4,25000428578.21365
1.8,0.6499999999999999,25.0,0.45000000000000007,23967732894.811512
1.8,0.6499999999999999,25.0,0.5,23125109539.39006
1.8,0.6499999999999999,37.5,0.30000000000000004,12598401764.593124
1.8,0.6499999999999999,37.5,0.35000000000000003,10696220408.151182
1.8,0.6499999999999999,37.5,0.4,9333096553.476173
1.8,0.6499999999999999,37.5,0.45000000000000007,8308696333.444639
1.8,0.6499999999999999,37.5,0.5,7487183780.481014
1.8,0.6499999999999999,50.0,0.30000000000000004,4937371190.490419
1.8,0.6499999999999999,50.0,0.35000000000000003,3628123391.193642
1.8,0.6499999999999999,50.0,0.4,2726377078.3754244
1.8,0.6499999999999999,50.0,0.45000000000000007,2060034525.0956032
1.8,0.6499999999999999,50.0,0.5,1554581094.7021937
1.8,0.6499999999999999,62.5,0.30000000000000004,5265580081.337309
1.8,0.6499999999999999,62.5,0.35000000000000003,5162762843.831933
1.8,0.6499999999999999,62.5,0.4,5180270152.911401
1.8,0.6499999999999999,62.5,0.45000000000000007,5221747469.764409
